"We stayed at sun mountain lodge. Beautiful location with miles of hiking, biking, water activities. We hardly ran into anybody during these activities. It almos...",4.0,Sun Mountain Lodge,4.5
We stayed at the Colonial for 8 days in Oceanview Junior Suite. We initially got a ground floor room and we asked to switch a couple of times to get the room th...,4.0,Majestic Colonial Punta Cana,4.5
desconocido,40.4,Punta Cana,40.4
We hiked from Vernazza to Monterosso. It took us about 2.5 hours as we stopped for pics and break. The initial 30 minutes was the hardest as it was steep - rock...,5.0,Trail 2,4.5
"We booked the guided tour of the museum, the Sistine Chapel, and St. Peter's Basilica, through the Vatican website. My husband and I loved it. We couldn't have...",5.0,Museos Vaticanos,4.5
We booked the Colosseum Belvedere guided tour from the Coopcultre website. It took us about an hour to get in - getting tickets for our online booking and secur...,5.0,Coliseo,4.5
"We were new to Italy dining experience and this was our first place. In our 150 Euro bill, close to 40 Euros was the service and cover charge. Food was good but...",3.0,Trovatore,4.0
We booked tickets for the Dumo climb using the museo website. They don't sell tickets for these there and has to be booked online I think. We chose 5.30pm climb...,5.0,Catedral de Santa María de las Flores,4.5
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Italia,40.4
desconocido,40.4,Italia,40.4
desconocido,40.4,Italia,40.4
desconocido,40.4,Italia,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Roma,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
desconocido,40.4,Florencia,40.4
Our family of four (2 adults and kids -14 & 10) loved this half day trip to Morning glory/ Ephedras Grotto. Mark our guide was very good and extremely encouragi...,5.0,Moab Cliffs and Canyons,5.0
