desconocido,40.4,Egipto,40.4
"Comida tipica, gran servicio. El restaurant es tipo cueva, hay wifi y el sabor del platillo (pollo con arroz) fue delicioso, muy recomendado y a buen precio",5.0,Harmandali Restaurant,4.0
Algo caro comparado con el precio de otras compañías pero el servicio es realmente excelente. Pasan a recogerte temprano al hotel (5am) y para los que fue nues...,5.0,Turkiye Balloons,5.0
"Es uno de los imperdibles de Capadocia, lugar para muy buenas fotografías y da la sensación de estar en otro planeta o en algún foro de filmación de cine. Reco...",5.0,Uchisar Castle,4.5
"Estuvimos solo 1 noche en éste hotel, a pesar de llegar en grupo el check in fue bastante ágil. La cena incluida en el precio de la habitación deliciosa (buffe...",4.0,Spa Hotel Colossae Thermal,4.0
La visitamos muy temprano cuando todavía no había muchos turistas asi que logramos sacar muy buenas fotos. OJO tienes que quitarte los zapatos y a esa hora (an...,5.0,Pamukkale Thermal Pools,4.5
Ampliamente recomendado. El tour lo iniciamos desde muy temprano (6am) asi que literalmente nos toco ver amanecer sobre este sitio.,5.0,Amphitheatre,4.5
"Ambos lugares se encuentran juntos, primero puedes visitar Hierápolis y luego vas bajando hacia el área de las piscinas termales. En la explanada previa a las ...",5.0,Hierapolis & Pamukkale,4.5
"Todo queda cerca un lugar de otro, si vas a visitar el conjunto de Hierapolis y el castillo de algodon, este queda justo al lado, tendrás una agradable caminata...",5.0,Pamukkale Natural Park,4.5
"Un excelente lugar para conocer más la historia del famoso Ataturk, a cierta hora hay cambio de guardia pero hay tanta gente que dificilmente podrás tener una b...",4.0,Mausoleo Ataturk (Anitkabir),5.0
"Super bien ubicado a un par de cuadras de grandes centros comerciales, a media cuadra hay un 7 eleven, un restaurant de tacos al pastor, algunos bares. La zona...",5.0,City Express Suites Santa Fe,3.5
