Index;Gender;Place;Location;Date;Type;Label;Description;Comentario;Puntuacion;Lugar;Puntuacion Global;Etiqueta;SentimientoComentario
Usuario1238;Male;Islas Marietas;Occidente;2015-09;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario1450;Male;Islas Marietas;Sureste;2016-10;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Marietas es una Isla de atractivos particulares, en cuanto a aves, variedad de peces y el color del mar...solo que para ingresar a ese paraíso hay que nadar ba...;4.0;Islas Marietas;4.5;Mexicano;0.5
Usuario1356;Female;Islas Marietas;Occidente;2017-08;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Although I didnt snorkle I loved going in the coves and exploring the beach, picturesque views and memories to last a lifetime, my partner and brother enjoyed ...;4.0;Islas Marietas;4.5;Mexicano;0.5
Usuario1161;Female;Islas Marietas;Noreste;2016-08;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Maravilla de islas que nos da la naturaleza. La isla escondida o isla del amor sin duda alguna es una playa exótica, donde después de una larga nadada desde el ...;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario1174;Male;Islas Marietas;Noroeste;2017-08;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Me tocó ir en sábado y parecía balneario en Semana Santa. He cisitado las islas en otras ocasiones y cuando hay poca gente, realmente se disfruta.;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario1162;Female;Islas Marietas;Noreste;2015-06;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Este viaje no vale la pena, yo viaje por Vallarta Advetures y la verdad quede decepcionado, el paseo es carísimo casi llegando a los precios de Xel Ha y Xacaret...;1.0;Islas Marietas;4.5;Mexicano;-1.0
Usuario1162;Female;Islas Marietas;Noreste;2015-06;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Este viaje no vale la pena, yo viaje por Vallarta Advetures y la verdad quede decepcionado, el paseo es carísimo casi llegando a los precios de Xel Ha y Xacaret...;1.0;Islas Marietas;4.5;Mexicano;-1.0
Usuario1162;Female;Islas Marietas;Noreste;2015-06;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;En Vallarta Tour solo te permiten estar 10 minutos en la playa y te sacan cosa que nunca te dicen cuando compras el boleto. si quieres snorkelear tienes que com...;1.0;Islas Marietas;4.5;Mexicano;-1.0
Usuario1162;Female;Islas Marietas;Noreste;2015-06;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;En Vallarta Tour solo te permiten estar 10 minutos en la playa y te sacan cosa que nunca te dicen cuando compras el boleto. si quieres snorkelear tienes que com...;1.0;Islas Marietas;4.5;Mexicano;-1.0
Usuario1142;Female;Islas Marietas;Noreste;2017-05;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;It was a great whole day out in the boat, snorkelling with some great tour guides. The snorkelling was good. Not much colour - water was deep. Tour guides made ...;4.0;Islas Marietas;4.5;Mexicano;0.5
Usuario622;Female;Islas Marietas;Centro;2016-01;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Es una gran opción viajar con Vallarta Adeventures, tienen una gran experiencia, instalaciones, disposición, creatividad.;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario1348;Female;Islas Marietas;Occidente;2014-07;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario1152;Female;Islas Marietas;Noreste;2014-07;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;La verdad es un lugar... para mí impresionante y maravilloso. En la visa me imaginé poder visitar algo tan hermoso... simplemente es imperdoble si visitas Puert...;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario575;Male;Islas Marietas;Centro;2016-01;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Gracias a las condiciones climatologicas y la marea pudimos entrar a PLAYA ESCONDIDA!!! Nos comentaron que no siempre es posible pues la marea algunas veces ci...;5.0;Islas Marietas;4.5;Mexicano;0.5
Usuario1296;Male;Islas Marietas;Occidente;2014-12;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Simplemente tienen que ir, mejor entre diciembre y marzo para que también vean ballenas. Es realmente un santuario!;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario1383;Female;Islas Marietas;Occidente;2014-07;Alone;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Un lugar que visitar es hermoso tanto por sus aves asi como para ir a esnorquear o bucear ya que tiene una variedad de peces de colores y su playa bellísima;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario1411;Female;Islas Marietas;Occidente;2016-05;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario1379;Female;Islas Marietas;Occidente;2015-12;Alone;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Recomendable al mil, eso si, buena condición fisica y un buen nivel de nado para que sea una experiencia agradable... un lugar que se debe visitar 100% obligado;5.0;Islas Marietas;4.5;Mexicano;0.5
Usuario478;Male;Islas Marietas;Centro;2015-12;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario551;Male;Islas Marietas;Centro;2014-10;Business;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;la mejor arena un lugar casi privado y el lugar es diferente a todo lo conocido con muchos peces de colores;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario650;Female;Islas Marietas;Centro;2018-08;Alone;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario1326;Female;Islas Marietas;Occidente;2013-03;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Muy bonita la playa, eso si cuando fui mucha gente pero si se va muy temprano 8 de la mañana esta solo, muy bonita experiencia;5.0;Islas Marietas;4.5;Mexicano;0.5
Usuario1472;Female;Islas Marietas;Sureste;2015-01;Business;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario1051;Female;Islas Marietas;Estados Unidos;2015-02;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Islas son bonitas , lo pesimo fue el servicio del barco Bahia Alegre ( pisos y escaleras resbalosas, pésima higiene de los alimentos y baños asquerosos );1.0;Islas Marietas;4.5;Extranjero;0.0
Usuario946;Female;Islas Marietas;Estados Unidos;2017-04;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;This is a 7 hour boat ride. You are not allowed to approach the beach but can snorkel, paddle board and swim around the boat. While the crew was attentive and...;3.0;Islas Marietas;4.5;Extranjero;0.5
Usuario1473;Female;Islas Marietas;Sureste;2015-02;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario659;Female;Islas Marietas;Centro;2015-01;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Es un lugar encantador, unico en Puerto Vallarta, hiba mucho pero jamas habia ido a las Islas Marias, me encanto, deben de disfrutar las bellezas naturales que ...;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario1251;Male;Islas Marietas;Occidente;2015-03;Alone;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;todo esta muy bien ,,,el viaje en barco,,,si no les gusta durar mucho sobre el mar ,,,salgam de punta mita;5.0;Islas Marietas;4.5;Mexicano;0.5
Usuario1184;Male;Islas Marietas;Noroeste;2016-04;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Es un paseo no puede faltar en su visita a puerto vallarta, playa escondida o del amor es lo mejor!!!, puedes esnorquear y tomarte la foto en la playa de esta p...;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario605;Female;Islas Marietas;Centro;2013-03;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Es un paraíso todos tienen que verlo, es genial poder entrar y ver una hermosa playa dentro de un cráter, esta simplemente hermosa;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario541;Male;Islas Marietas;Centro;2014-10;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Me encantó, los lugareños muy amables, sunque no hay nada como hagas el trato directamente con los lancheros para ir a las islas los intermediarios no son muy c...;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario617;Female;Islas Marietas;Centro;2014-08;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario715;Female;Islas Marietas;Centro;2013-05;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;El visitar las islas marietas es una aventura particular, ya que debes llegar nadando a ellas. Te brinda un toque de adrenalina y al llegar el paisaje y la play...;5.0;Islas Marietas;4.5;Mexicano;0.5
Usuario516;Male;Islas Marietas;Centro;2016-11;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario609;Female;Islas Marietas;Centro;2016-02;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario1484;Female;Islas Marietas;Sureste;2016-04;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;The hidden beach is a must see and a great opportunity to do something off the beaten path. Although there are a lot of people that visit the islands, it is not...;5.0;Islas Marietas;4.5;Mexicano;0.5
Usuario536;Male;Islas Marietas;Centro;2017-06;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;ES un tour muy recomendable, con atractivas actividades que incluye visita a una playa escondida, kayak snorquel, avistamiento de aves en su entorno natural y ¡...;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario864;Male;Islas Marietas;Estados Unidos;2015-02;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;We took the Vallarta Adventure tour and were overwhelmed by the FUN we had. Great crew, good food, fun activities. See my review for more.;5.0;Islas Marietas;4.5;Extranjero;0.5
Usuario854;Male;Islas Marietas;Estados Unidos;2016-04;Friends;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;We visited the island while staying at St Regis. You have to swim to the hidden beach. It was very crowded at 3pm when we got there. Our guide took us snorke...;4.0;Islas Marietas;4.5;Extranjero;-1.0
Usuario1345;Female;Islas Marietas;Occidente;2017-01;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario1138;Female;Islas Marietas;Noreste;2018-12;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Me encanto la experiencia, Vale la pena !! en nuestro trayecto nos toco ver ballenas. visita obligada si vas a Nayarit o puerto Vallarta! Puedes practicar acti...;5.0;Islas Marietas;4.5;Mexicano;1.0
Usuario891;Female;Islas Marietas;Estados Unidos;2017-06;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Extranjero;0.0
Usuario833;Male;Islas Marietas;Estados Unidos;2017-03;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;We went and snorkeled and it was lots of fun. You will snorkel in a group but can get separated if you are comfortable. Water and waves were choppy at points. ...;5.0;Islas Marietas;4.5;Extranjero;0.5
Usuario1216;Male;Islas Marietas;Occidente;2014-07;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Un lugar precioso, lleno de aves, lamentablemente no pudimos ver peces por estar el mar muy turbio, pero vale la pena regresar e intentarlo.;4.0;Islas Marietas;4.5;Mexicano;0.5
Usuario750;Female;Islas Marietas;Dinamarca;2016-11;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;We went with Vallarta Adventures. The snorkeling was OK but there were well over a 100 snorkelers in a small space. The swim into the hidden beach was cool but ...;3.0;Islas Marietas;4.5;Extranjero;0.0
Usuario1166;Male;Islas Marietas;Noroeste;2014-04;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario1331;Female;Islas Marietas;Occidente;2015-02;Family;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
Usuario521;Male;Islas Marietas;Centro;2015-08;Couple;5;Turismo de sol y playa,Aventura,ecoturismo , El Parque Nacional Islas Marietas , son dos islas deshabitadas cercanas a la costa mexicana del Estado de Nayarit. El archipiélago , de origen volcánico , está compuesto por la isla Larga y la isla Redonda.;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5;Mexicano;0.0
