Usuario;Comentario;Puntuacion;Lugar;Puntuacion Global
Usuario11;En si son muy baratos los vuelos la puntualidad no es su furte me ha tocado vuelos retrasados por 3 horas, eso si en ciudades como guadalajara o mexico son un p...;3.0;Viva Aerobus;3.0
Usuario11;Voy muy seguido a este hotel y en cuanto a ubicación esta excelente para el turismo, caminado llegas al zócalo, bellas artes en unos 15 minutos, la estación bal...;4.0;Kali Ciudadela;4.0
Usuario11;Fui a ver un partido del America vs Monterrey y no soy tan fanático del fútbol pero el simple hecho de estar en esa enorme construcción impone con los cantos de...;5.0;Estadio Azteca;4.5
Usuario11;El ambiente esta de 100 la música en vivo y gente bailando por todos lados no sabia si era un restaurante o un salon de baile y el grupo conviviendo con los com...;3.0;La Embajada Jarocha;4.0
Usuario11;Rodeada de la naturaleza en esta plaza siempre predomina el olor a madera se vive y se respira pino, la fachada de la iglesia es muy diferentes a la tradicional...;4.0;Iglesia de Mazamitla;4.5
Usuario11;Es ta plaza rodeada de balcones de madera, techos de teja y pisos de piedra es bastante original que no se ve en todos lados así que disfruta de la vista que te...;4.0;Plaza Municipal Jose Parres Arias;4.5
Usuario11;Por algo pusieron su actual atracción que son las letras de la capital en ese lugar, aunque la fachada es hermosa las letras pintorescas le roban atención a la ...;4.0;Ipina Building;4.0
Usuario11;Por algo pusieron su actual atracción que son las letras de la capital en ese lugar, aunque la fachada es hermosa las letras pintorescas le roban atención a la ...;4.0;Ipina Building;4.0
Usuario11;Pasamos a comer allí y la comida estaba buena y de buen tamaño, el lugar es agradable a nosotros por suerte estaba tipo tocando un piano que le daba un ambiente...;4.0;Restaurante La Parroquia Potosina;4.0
Usuario11;Este templo esta ubicado sobre la plaza del Carmen y es visita obligada ya que esta plaza tiene los principales atractivos, la iglesia es bonita como la mayoría...;4.0;Iglesia Templo del Carmen;4.5
Usuario11;En si el recorrido que hace el tranvia es pequeño y si eres de los que gusta de apreciar mas detenidamente las cosas te recomiendo que hagas el mismo recorrido ...;3.0;Tranvia Turistico San Luis Rey;4.0
Usuario11;En tu recorrido seguro pasas por este edificio ya que es parte del recorrido turístico, es imponente este edificio abarca toda la cuadra frente a la plaza tiene...;4.0;Palacio de Gobierno de San Luis Potosí;4.0
Usuario11;Para poder llegar a este pueblo me perdí dos veces no se si el GPS no estaba actualizado o realmente es complicado llegar ya que estuve a punto de regresarme po...;5.0;Cerro de San pedro;4.5
Usuario11;Me gusto la exposición que había en ese momento solo que el lugar estaba un poco descuidado había cosas tiradas en el piso, tiene un pequeño elevador por si lle...;3.0;Museo del Virreinato de San Luis Potosi;3.5
Usuario11;El museo esta cuidado y en buenas condiciones pero si no te interesa la historia de Othon se te sera aburrido ya que el museo esta dedidcado a esta persona dond...;3.0;Casa Othón/Museo Othoniano;4.0
Usuario11;El interior de este templo es lo impresionante y lo que mas gusta, no te dejes llevar por la impresión del exterior ya que puede llegar a no impresionarte pero ...;4.0;Capilla de Aranzazu;5.0
Usuario11;Este edificio comprende una manzana y es fácil de ignorar ya que las solo tiene tiendas allí establecidas y no vi ninguna entrada para visitar su interior, así ...;3.0;Ipina Building;4.0
Usuario11;Este edificio comprende una manzana y es fácil de ignorar ya que las solo tiene tiendas allí establecidas y no vi ninguna entrada para visitar su interior, así ...;3.0;Ipina Building;4.0
Usuario11;Lo mejor de esta alameda es que esta muy grande a comparación de las demás plazas, no hay mucho atractivo cultural estatuas o esculturas, sino su atractivo prin...;3.0;Parque Alameda;3.5
Usuario11;Esta plaza en si es pequeña pero tiene a un costado restaurantes de calidad pertenecientes a un hotel, tiene un kiosko de cantera que llama mucho la atención y ...;3.0;Plaza de Armas;4.5
Usuario11;A lo largo de su fachada hay diferentes entradas donde se exponen fotografías y la historia de la ciudad, la entrada es gratis pero no esta anunciado solo entra...;3.0;Palacio Municipal;4.5
Usuario698;Ostello Bello Grande is quite simple without comparition. Clean, affordable, full of amenities, a lovely place to have an aperitif, close to the station... The ...;5.0;Ostello Bello Grande;4.5
Usuario698;Quite good! I deeply recommend it, a particular highlight is the visit to the last supper alternate, a nice visit from Roman time to modern time.;5.0;FollowMi Around;5.0
Usuario698;Pepe y su familia dan una atención magnifica, y ofrecen tours incomparables. Con un grupo de amigos fuimos a la Isla de San José y estuvo pendiente desde antes ...;5.0;Barbarita Tours;5.0
Usuario698;Cuando uno va de visitas a california por los parques generalmente es difícil escoger debido a la gran oferta. Knotts por ejemplo se ve opacado por Disneylandia...;4.0;Knott's Berry Farm;4.0
Usuario698;Definitivamente el mejor lugar para las fotos de facebook. Los Moais se montan sobre una plataforma de carácter sagrado, por lo que la isla tiene espacios delim...;5.0;Rano Raraku;5.0
Usuario698;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5
Usuario698;Los empleados son de lo más amables y accesibles, la atención muy puntual. Lo mejor: El SPA. Buen precio y Excelente servicios. Ha sido el mejor masaje (escogi...;4.0;Costa Sur Resort & Spa;4.0
Usuario638;Simplemente me encantó! Desde que llegas tu visita es agradable, el valet es amable y no esperas por horas. Todo el personal muy atento, hacen de tu visita una ...;5.0;Nueve Nueve;4.0
Usuario638;La comida definitivamente va de lo regular a lo malo Los chiles en nogada son muy malos, bueno ni siquiera se acerca a la receta tradicional, deberían de ponerl...;1.0;LA RINCONADA;4.0
Usuario638;Lo hemos visitado en varias ocasiones y siempre es una buena opción. La comida es fabulosa y el servicio excelente. Un lugar agradable, es pequeño, en grupos gr...;5.0;El Barracuda;4.5
Usuario638;Una sorpresa completamente agradable, faltan más lugares así en Aguascalientes. El servicio no puede ser mejor, prácticamente te leen el pensamiento, te sorpren...;5.0;Puerta Grande Restaurante;4.5
Usuario638;Es un lindo lugar, excelente servicio, en realidad muy amables, los postres son lo mejor. La comida no es mala, pero tampoco buena, en especial los platos fuert...;4.0;Restaurante Casa San José;4.5
Usuario638;desconocido;40.4;Península de Yucatán;40.4
Usuario638;En mi opinión me gusta para ir a desayunar. De los pocos lugares que el servicio no deja de ser excelente sin importar que tan lleno pueda estar. Una garantía e...;5.0;El Cardenal San Ángel;4.5
Usuario638;Me encanto!! Es muy buena opción para ir a comer, pero ir a desayunar es una excelente opción. Me encanta la terraza!! Tienen una carta variada, en general bue...;5.0;Carlota;4.0
Usuario638;El hotel es maravillo, con un maravilloso vitral Tiffany que se aprecia mucho mejor de día. Sin embargo tiene muchos detalles que aprecias en tu camino a la Ter...;5.0;Gran Hotel Ciudad de Mexico;5.0
Usuario638;De mis restaurantes favoritos, los postres son imperdibles. Me encanta el risotto en cualquiera de sus versiones . No es grande pero es un lugar muy agradable. ...;5.0;Eloise - Mexico;4.5
Usuario638;Un excelente desayuno con guisados típicos mexicanos. Los frijoles son excelentes. Es necesario llegar temprano si no quieres esperar un buen rato, aunque vale ...;5.0;Fonda Margarita;4.5
Usuario638;El servicio es bueno, pueden saturarse a ciertas horas y bueno se complica. El pan dulce de mis favoritos. No lo calificó como excelente por dos razones: si pid...;3.0;Giornale Pedregal;4.0
Usuario638;Son campos de diferentes clases de lavanda, te dan una explicación de todo lo referente a la lavanda y al proceso de extracción. El aroma y la vista de estos c...;5.0;Lavander Farms Of Pozos;3.5
Usuario638;La comida es bastante buena, y las porciones para mi gusto son buenas. Tienen una buena carta y variada, las pizzas y el chile Aguascalientes muy recomendables....;5.0;Cazona Corzo;3.5
Usuario638;El lugar es bastante agradable, me encanta el concepto. La comida me encanta, y obviamente todo se sirvió en tiempo y temperatura. El término de la carne perfec...;5.0;El Almacen Del Bife;4.0
Usuario638;La comida es realmente buena, empezando por la pasta casera, el lugar es agradable. El servicio es muy cálido. Un lugar para ir con amigos, familia, o simpleme...;5.0;La Emiliana;5.0
Usuario638;El servicio es excelente, los alimentos en tiempo y temperatura. El menú del chef buenísimo. El lugar es bastante agradable. Lo he visitado en dos ocasiones es ...;5.0;Xoconostle;4.5
Usuario638;Nos dieron mesa a las 3:00, sin embargo nos comentaron que tendríamos que dejarla a las 5:00, porque tenía reservación, hasta ahí sin problema. Servicio pésimo ...;1.0;Mezquite;4.5
Usuario638;Un lugar con diferentes propuestas, buen servicio. Cumple con su concepto, un lugar casual, nada formal. Es un lugar agradable y no es malo. El concepto a cambi...;3.0;Quinto Barrio;4.0
Usuario638;Una vista hermosa, el lugar es muy agradable. Un lugar para visitar en cualquier ocasión. Cuenta con área para niños. El menú es bastante completo, sin duda hay...;5.0;El Ciruelo;4.0
Usuario638;Completamente recomendable, una experiencia muy agradable, lo habíamos visitado el año pasado y sigue siendo una excelente opción. La atención del personal es m...;5.0;Los Xitomates;4.5
Usuario638;La pasamos muy bien! Los alimentos buenísimos y el servicio excelente, el personal siempre se mostró atento. Estuvimos en la parte de arriba, con vista al mar, ...;5.0;La Bodeguita del Medio;4.0
Usuario638;El hotel es hermoso, perfectamente cuidado,cada espacio es único. El personal muy cálido y el servicio del restaurante excelente, cuentan con terraza. Dejen esp...;5.0;Posada de las Minas;4.5
Usuario638;Mi restaurante favorito en Guanajuato, cada visita es más satisfactoria. Los chiles en nogada una delicia. El servicio como siempre excelente, la carta de alime...;5.0;Casa Valadez;4.0
Usuario638;Muy lindo, un lugar para regresar definitivamente, perfecto para descansar ya que solo cuenta con 3 habitaciones, todas amplias y en perfecto estado el personal...;5.0;El Secreto de Pozos;5.0
Usuario638;Es una de las muchas haciendas que existieron en este maravilloso pueblo mágico. Como todo Mineral de Pozos es un lugar que sin importar el paso del tiempo ha s...;5.0;Mina Cinco Senores;4.5
Usuario638;Tuvimos una hab con muy buena vista a la bahía en el piso 10 por 7 días. Pros: el personal siempre amable, wifi es gratis y no tuvimos problemas, el servicio a...;3.0;Wyndham San Diego Bayside;3.5
Usuario638;Es uno de los lugares que siempre visitó con los niños. Lo disfrutan tanto que no importa cuánto tengan que caminar. El mejor zoológico !!;5.0;San Diego Zoo;4.5
Usuario638;Ampliamente recomendable, muchos museos con excelentes exposiciones y actividades. Cada área es hermosa, increíble para caminar;5.0;Parque Balboa;4.5
Usuario638;Definitivamente el mejor! La atención de todo el personal increíble. Muy buena ubicación, justo en el centro. Las habitaciones impecables, cómodas y con una lin...;5.0;Hotel Mina Real;4.5
Usuario638;Una increíble experiencia para mis hijos de 5 y 7 años con el mejor. Mis horarios estaban muy complicados y Steve amablemente se adaptó a ellos. Lo recomiendo a...;5.0;Scuba Steve;5.0
Usuario638;Los jardines son realmente hermosos. Repelente indispensable al menos en junio. Lo que más disfrutaron los niños fue el estanque. Aquí terminamos nuestro viaje...;3.0;Parque Sinaloa;4.5
Usuario638;Tiene una pequeña plaza al frente, la iglesia es hermosa. Nos hospedamos en el hotel frente a la plaza.;3.0;Iglesia Sagrado Corazon de Jesus;4.0
Usuario638;No volvería. Al considerar el hotel no pensamos que fuera así.. Pase una semana de tortura, cuando llegamos un problema con las habitaciones, no las tenían list...;1.0;Radisson Hotel Trinidad;3.5
Usuario638;Impresionante!! Nuestra primera visita fue en la noche, más recomendable que en el día sin duda. Moscú es un sueño.;5.0;Plaza Roja;4.5
Usuario638;El servicio excelente y la comida una delicia. Sabor con tradición, cómo debería ser. Se pidieron 8 platillos al centro, todos buenísimos. En estos días visitar...;5.0;La Leyenda;4.0
Usuario638;Mi primer visita fue hace seis años la atención de todo el personal siempre maravillosa. Regularmente me hospedo por espacio de una semana. Tuve un evento de 3 ...;5.0;Sheraton Presidente San Salvador;4.0
Usuario638;No estaba lleno el restaurante a lo mucho 10 comensales y el servicio muy malo, prácticamente no te pelan, y todos nos quejamos de lo mismo. La comida mala. Con...;1.0;Las Palmas Restaurant & Bar;4.0
Usuario638;Una playa hermosa de arena blanca y agua turquesa. Solo apta para excelentes nadadores y no niños, pero vale la pena conocer. Tiene 2 restaurantes de playa ( n...;5.0;Playa San Pancho;4.5
Usuario638;Constantemente viajó a la Rivera Nayarit y es visita obligada, estoy en este momento por aquí (julio 2017) y al parecer estaba cerrado. Si lo encuentran abierto...;5.0;Riviera Farmers Market;4.5
Usuario377;Went to eat at BudA Tortuga as their restaurant looked very inviting and the menu was good. Ordered drinks, appetizer and two meals. Watched as two Mexican coup...;1.0;Posada Buda Tortuga;4.5
Usuario377;We watched the sunset from Espadin. Food was good. Hubby’s burger was undercooked but he lived to tell the tale. My mole chicken was excellent. Service was grea...;4.0;Espadin;4.5
Usuario377;Wow! What an awesome experience. They are so respectful at the door - safety first but not overbearing. Decor is amazeballs - funky Mexican. Ashley R, our serve...;5.0;Cantina Del Centro Kelowna;5.0
Usuario377;desconocido;40.4;Huatulco;40.4
Usuario377;desconocido;40.4;Huatulco;40.4
Usuario377;desconocido;40.4;Huatulco;40.4
Usuario377;desconocido;40.4;Huatulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;desconocido;40.4;Acapulco;40.4
Usuario377;Very good food - great ambience. Service was good. Everything was great and they even take credit card which was convenient.;5.0;La Termita;4.5
Usuario377;Punta Placer itself s amazing - the location right on the beach is wonderful. The regular cabanas seemed lovely, unfortunately we stayed in the family bungalow ...;4.0;Punta Placer Bungalows;4.5
Usuario377;It's a trek but so totally worth it. We drove from Puerto Escondido, arrived in Zapotalito about an hour and half later and then opted for the direct route boat...;5.0;Lagunas de Chacahua Parque Nacional;4.5
Usuario377;We went here Christmas Day 2019 for a traditional meal and it was delightful! You sit a long communal tables, and with the help of a local we ordered the X-mas ...;5.0;"""Las Juquileñas"" Antojitos Regionales";5.0
Usuario377;These big, stuffed 'tater-tots' are heavenly. SO good and fresh. Our family of five ordered a variety of balls as well as the cheese sticks and they were all wi...;5.0;Papa Tots;5.0
Usuario377;I hate leaving bad reviews but I would have appreciated some real feedback before planning my trip. So here goes... What's good? All the Wifi you need to Inst...;2.0;Hotel Fontan Ixtapa;4.0
Usuario243;Ostello Bello Grande is quite simple without comparition. Clean, affordable, full of amenities, a lovely place to have an aperitif, close to the station... The ...;5.0;Ostello Bello Grande;4.5
Usuario243;Quite good! I deeply recommend it, a particular highlight is the visit to the last supper alternate, a nice visit from Roman time to modern time.;5.0;FollowMi Around;5.0
Usuario243;Pepe y su familia dan una atención magnifica, y ofrecen tours incomparables. Con un grupo de amigos fuimos a la Isla de San José y estuvo pendiente desde antes ...;5.0;Barbarita Tours;5.0
Usuario243;Cuando uno va de visitas a california por los parques generalmente es difícil escoger debido a la gran oferta. Knotts por ejemplo se ve opacado por Disneylandia...;4.0;Knott's Berry Farm;4.0
Usuario243;Definitivamente el mejor lugar para las fotos de facebook. Los Moais se montan sobre una plataforma de carácter sagrado, por lo que la isla tiene espacios delim...;5.0;Rano Raraku;5.0
Usuario243;Las Marietas son una experiencia increible pero complicada: a veces el mar no coopera y tiene o medusas o marea alta/oleaje que impide/dificulta entrar a la isl...;5.0;Islas Marietas;4.5
Usuario243;Los empleados son de lo más amables y accesibles, la atención muy puntual. Lo mejor: El SPA. Buen precio y Excelente servicios. Ha sido el mejor masaje (escogi...;4.0;Costa Sur Resort & Spa;4.0
Usuario1590;A great place to have a few drinks and listen to some good live music. A really cool vibe with a great view overlooking the Malecón and ocean.;4.0;The Jazz Foundation;4.0
Usuario1590;This place is great. The owners are amazing and the vibes here are really positive. Great menu selections, good prices and WiFi. This place is a must for healt...;5.0;Playa Detox;4.5
Usuario1590;This is a great spot to go when you want some good food choices, good ambience and friendly servers. The WiFi is good, it is pet friendly and Momo (an owner) s...;4.0;Noah's Cafe Bar;4.5
Usuario1590;This place is a very popular spot. You'll need to arrive before 3 if you want to get a table on the beach, but it is worth it to have dinner while the sun goes...;4.0;El Barracuda;4.5
Usuario1590;This place was great. We had a great time trying the mafia room and almost cracked it. The owners are quite friendly and helpful. A great way to spend some time...;4.0;Escape Artists;5.0
Usuario1590;A great night out with family and friends. This place has a large game selection, delicious and (somewhat healthy) food options, knowledgeable and friendly sta...;4.0;The Board Room Game Cafe;4.5
Usuario1590;If you are vegetarian, or just into eating healthy and delicious meals, then you need to hit up this spot. The juices are great (especially the Green Juice), an...;4.0;Taste From Heaven;4.5
Usuario1590;A cool spot. Good vibe. Friendly service and good food. Good veg options and non-veg too. The smoothies are really good. A great lunch spot.;4.0;Bubbles Live;4.5
Usuario1590;The food at Casa Luna is good, very good. The choices are plenty and the layout of the restaurant is awesome. That being said, for the price, the food just does...;3.0;Casa Luna Restaurant;4.0
Usuario1590;This place has a really nice layout, large open windows and nice views of the soccer field or street. The food choices are plenty, lots of options, and the pric...;4.0;Tutmak;4.0
Usuario1590;The views from this spot are pretty sweet, especially if you like people watching. The food choices are decent and very healthy, but you are paying a higher pri...;3.0;Juice Ja Cafe;4.5
Usuario1590;This place is equally as good as its partner Kafe located in the Yoga Barn. There are many options for the health conscious. In my opinion the best bang-for-the...;4.0;Kafe;4.5
Usuario1590;Every time I visit Ubud I go to Kebun to eat the tuna steak. I have recommended this place to everyone and anyone I know coming to Ubud. The food is great, the ...;5.0;Kebun Bistro;4.5
Usuario1590;A great experience while in Ubud. The forest itself is quite large and offers beautiful views. But the monkeys roaming around everywhere make it that much bette...;4.0;Sacred Monkey Forest Sanctuary;4.0
Usuario1590;This beach is by far better- if you like more beach area for tossing a ball or disc, beach volleyball (there are nets), a more relaxed vibe and less scenesters....;4.0;Gwangalli Beach;4.5
Usuario1590;This place is a great spot to practice in Ubud. There are a variety of classes offered for different levels, experience and interest. I highly recommend the Vin...;5.0;The Yoga Barn;4.5
Usuario1590;A great way to spend an hour in Siem Reap. A very entertaining performance. It also supports local Cambodians and gives them an outlet for artistic expression. ...;5.0;Phare, The Cambodian Circus;5.0
Usuario1590;So many options and all quite healthy. Many smoothies, salads and other healthy dishes. Once I discovered this spot, I ate as many meals there as my body would ...;5.0;Prem Bistro & Café;4.5
Usuario1527;"Las habitaciones son muy básicas. las camas duras como pocas he conocido, y podria ser ""aceptable"". lo que nadie me advirtió es que es un hotel lleno de polici...";1.0;Hotel Zar Guadalajara;3.5
Usuario1527;"Reserve por medio de Tripadvisor. Al momento del check-in y solicitar la tarifa contratada el""gerente"" me dijo qué !no podia darme ese precio!!!! x que Tripad...";3.0;Hotel Horizon Morelia;4.0
Usuario1527;This hotel has no sense of customer service. They do not respect people and they don't respect their offering. The owner decided to reinburse me the amount o...;1.0;Rancho Hotel El Atascadero;3.5
Usuario1527;los platillos deliciosos el chile relleno cubierto de hojaldre es un imperdible. El pollo a la parmesana y los postres tambien son excelentes. Vale la pena ve...;5.0;La Pause;4.0
Usuario1527;El sabor de este lugar es realmente bueno tienen muy buen sazon pero lamentablemente las porciones son minúsculas y cualquier persona se queda con hambre ojalá ...;4.0;La Cocina de Mi Mama;4.0
Usuario1527;fuimos a este lugar por una recomendación de una fuente hasta hoy confiable. por su nombre, esperaba un lugar interesante . resultó que es, tal vez la play...;1.0;Playa los Muertos;4.5
Usuario1527;mucho más agradable de lo que pude imaginar! un lugar lleno de lugares y gente que en conjunto conforman un pueblo con una personalidad única.;5.0;Sayulita Beach;4.0
Usuario1527;la ubicación es excelente para observar a la variada y extravagante concurrencia .la atención del personal nos hizo sentir en casa y el café excelente.;5.0;ChocoBanana;4.5
Usuario1527;A bathroom without water! No internet service! No tv service! Four hours awaiting to talk with the hotel manager? All the staff works hard. They do their best ...;2.0;Occidental Nuevo Vallarta;4.5
Usuario1527;El Four Seasons has the best brunch in town. The place and the service are world class. The food is delicious, However it could be great if they include the ...;5.0;Four Seasons Hotel Mexico City;4.5
Usuario1527;hemos visitado este restaurante los últimos diez años y se distinguía por ser un lugar exclusivo con instalaciones fuera de serie para esta zona de la ciudad. L...;2.0;Bistrot Mosaico;3.5
Usuario1527;hemos visitado este restaurante los últimos diez años y se distinguía por ser un lugar exclusivo con instalaciones fuera de serie para esta zona de la ciudad. L...;2.0;Bistrot Mosaico;3.5
Usuario1527;Además de que el lugar es sumamente agradable y que los alimentos son de calidad, la atención que he recibido en cada ocasión ha sido EXCELENTE!. Se percibe un ...;5.0;Courtyard by Marriott Mexico City Airport;4.5
Usuario1527;"El mueseo es un lugar obligado para turistas nacionales y extranjeros, pero lamentablemente el ""museo"" es muy pequeño y esto ocasiona que muchas veces haya una ...";4.0;Museo Frida Kahlo;4.5
Usuario1527;Es un lugar pequeño, pero los alimentos y el ambiente son de las mejores opciones que se tienen en este aeropuerto.;5.0;Bistrot Mosaico;3.5
Usuario1527;Es un lugar pequeño, pero los alimentos y el ambiente son de las mejores opciones que se tienen en este aeropuerto.;5.0;Bistrot Mosaico;3.5
Usuario1527;El lugar es por mucho mejor en instalaciones, atención, precios y estacionamiento que otros que usan el mismo nombre. Fui recibido en la puerta por la propietar...;5.0;La Poblanita Nueva;4.0
Usuario1527;Cuidado! Los artículos que ponen en la Mesa al comer te los cobran al final en la cuenta! Tomamos una mermelada y cobraron 50 pesos!;1.0;Cafebrería El Pendulo Condesa;4.0
