Index;Gender;Place;Location;Date;Type;Label
Usuario1786;Female;Playa Los Muertos;Canada;2015-12;Couple;5
Usuario1737;Female;Playa Destiladeras;Sureste;2016-03;Friends;5
Usuario617;Female;Islas Marietas;Centro;2014-08;Friends;5
Usuario2243;Female;Santuario de Cocodrilos El Cora;Centro;2018-08;Family;5
Usuario499;Male;Islas Marietas;Centro;2016-03;Couple;5
Usuario967;Female;Islas Marietas;Estados Unidos;2015-06;Alone;5
Usuario715;Female;Islas Marietas;Centro;2013-05;Couple;5
Usuario516;Male;Islas Marietas;Centro;2016-11;Couple;5
Usuario1567;Female;Manantial La Tovara;Occidente;2016-03;Family;5
Usuario2210;Female;The Jazz Foundation;Occidente;2016-06;Family;5
Usuario609;Female;Islas Marietas;Centro;2016-02;Friends;5
Usuario1484;Female;Islas Marietas;Sureste;2016-04;Couple;5
Usuario1716;Male;Playa Destiladeras;Occidente;2015-05;Family;5
Usuario536;Male;Islas Marietas;Centro;2017-06;Couple;5
Usuario1467;Male;Islas Marietas;Sureste;2015-11;Family;5
Usuario157;Female;Cerro de la Contaduria;Occidente;2015-12;Family;5
Usuario208;Male;Galerias Vallarta;Occidente;2019-01;Alone;5
Usuario1562;Female;Manantial La Tovara;Occidente;2018-06;Family;5
Usuario62;Female;Bucerias Art Walk;Canada;2016-01;Friends;5
Usuario1480;Female;Islas Marietas;Sureste;2015-09;Friends;5
Usuario864;Male;Islas Marietas;Estados Unidos;2015-02;Friends;5
Usuario854;Male;Islas Marietas;Estados Unidos;2016-04;Friends;5
Usuario1565;Female;Manantial La Tovara;Occidente;2020-09;Family;5
Usuario1209;Female;Islas Marietas;Noruega;2014-09;Friends;5
Usuario1345;Female;Islas Marietas;Occidente;2017-01;Family;5
Usuario174;Female;Galerias Vallarta;Canada;2017-02;Couple;5
Usuario188;Male;Galerias Vallarta;Estados Unidos;2016-06;Family;5
Usuario1138;Female;Islas Marietas;Noreste;2018-12;Couple;5
Usuario184;Male;Galerias Vallarta;Estados Unidos;2017-07;Couple;5
Usuario891;Female;Islas Marietas;Estados Unidos;2017-06;Family;5
Usuario1837;Male;Playa Los Muertos;Estados Unidos;2017-07;Family;5
Usuario833;Male;Islas Marietas;Estados Unidos;2017-03;Couple;5
Usuario1216;Male;Islas Marietas;Occidente;2014-07;Family;5
Usuario1673;Male;Playa Destiladeras;Estados Unidos;2014-11;Friends;5
Usuario750;Female;Islas Marietas;Dinamarca;2016-11;Couple;5
Usuario1903;Male;Playa Los Muertos;Noreste;2017-07;Family;5
Usuario1485;Female;Islas Marietas;Sureste;2015-09;Friends;5
Usuario2106;Male;The Jazz Foundation;Estados Unidos;2016-06;Family;5
Usuario240;Male;Isla de Coral;Centro;2016-09;Family;5
Usuario1166;Male;Islas Marietas;Noroeste;2014-04;Couple;5
Usuario1895;Female;Playa Los Muertos;Israel;2018-07;Couple;5
Usuario137;Male;Cerro de la Contaduria;Estados Unidos;2018-12;Couple;5
Usuario576;Male;Islas Marietas;Centro;2013-04;Friends;5
Usuario1331;Female;Islas Marietas;Occidente;2015-02;Family;5
Usuario521;Male;Islas Marietas;Centro;2015-08;Couple;5
Usuario502;Male;Islas Marietas;Centro;2017-03;Couple;5
Usuario305;Female;Islas Marietas;Argentina;2013-03;Couple;5
Usuario2052;Female;The Jazz Foundation;Canada;2017-03;Family;5
Usuario695;Female;Islas Marietas;Centro;2013-12;Family;5
Usuario264;Male;Isla de Coral;Occidente;2016-06;Couple;5
Usuario1534;Male;Manantial La Tovara;Noreste;2014-07;Family;5
Usuario537;Male;Islas Marietas;Centro;2013-08;Friends;5
Usuario2223;Female;The Jazz Foundation;Occidente;2018-07;Family;5
Usuario16;Male;Bahia de Matanchen;Occidente;2017-02;Family;5
Usuario867;Male;Islas Marietas;Estados Unidos;2017-03;Couple;5
Usuario1651;Male;Playa Destiladeras;Centro;2019-01;Couple;5
Usuario716;Female;Islas Marietas;Centro;2015-12;Family;5
Usuario1991;Female;Splash Water Park;Estados Unidos;2014-04;Family;5
Usuario1690;Female;Playa Destiladeras;Noroeste;2018-09;Couple;5
Usuario1125;Female;Islas Marietas;Noreste;2018-10;Couple;5
Usuario906;Female;Islas Marietas;Estados Unidos;2015-03;Friends;5
Usuario2018;Male;Splash Water Park;Occidente;2012-07;Family;5
Usuario304;Female;Islas Marietas;Argentina;2016-04;Alone;5
Usuario1035;Female;Islas Marietas;Estados Unidos;2018-07;Family;5
Usuario2024;Female;Splash Water Park;Occidente;2014-10;Family;5
Usuario1106;Male;Islas Marietas;Noreste;2018-06;Couple;5
Usuario385;Female;Islas Marietas;Canada;2014-09;Couple;5
Usuario2152;Female;The Jazz Foundation;Estados Unidos;2016-01;Friends;5
Usuario1365;Female;Islas Marietas;Occidente;2016-05;Couple;5
Usuario1207;Female;Islas Marietas;Noroeste;2015-06;Friends;5
Usuario2241;Male;Santuario de Cocodrilos El Cora;Occidente;2018-11;Family;5
Usuario12;Male;Bahia de Matanchen;Occidente;2015-12;Family;5
Usuario1167;Male;Islas Marietas;Noroeste;2016-03;Family;5
Usuario1607;Female;Mercado del Pueblo Sayulita;Estados Unidos;2016-11;Friends;5
Usuario673;Female;Islas Marietas;Centro;2017-05;Couple;5
Usuario637;Female;Islas Marietas;Centro;2016-12;Family;5
Usuario1374;Female;Islas Marietas;Occidente;2013-01;Friends;5
Usuario1576;Male;Manantial La Tovara;Sureste;2014-11;Friends;5
Usuario546;Male;Islas Marietas;Centro;2015-12;Family;5
Usuario1644;Female;Playa Destiladeras;Canada;2015-02;Couple;5
Usuario1674;Female;Playa Destiladeras;Estados Unidos;2016-11;Friends;5
Usuario1490;Female;Islas Marietas;Uruguay;2014-11;Couple;5
Usuario1232;Male;Islas Marietas;Occidente;2016-05;Friends;5
Usuario1575;Male;Manantial La Tovara;Paises Bajos;2014-12;Couple;5
Usuario1088;Male;Islas Marietas;Noreste;2015-04;Couple;5
Usuario1551;Male;Manantial La Tovara;Occidente;2018-09;Family;5
Usuario1693;Male;Playa Destiladeras;Occidente;2014-07;Friends;5
Usuario2162;Female;The Jazz Foundation;Noreste;2016-06;Family;5
Usuario2114;Male;The Jazz Foundation;Estados Unidos;2016-04;Family;5
Usuario847;Male;Islas Marietas;Estados Unidos;2015-05;Friends;5
Usuario1095;Male;Islas Marietas;Noreste;2015-07;Family;5
Usuario1787;Female;Playa Los Muertos;Canada;2017-07;Couple;5
Usuario507;Male;Islas Marietas;Centro;2017-05;Family;5
Usuario1894;Female;Playa Los Muertos;Estados Unidos;2015-10;Friends;5
Usuario488;Male;Islas Marietas;Centro;2014-09;Family;5
Usuario178;Female;Galerias Vallarta;Canada;2019-02;Alone;5
Usuario310;Female;Islas Marietas;Argentina;2015-01;Family;5
Usuario1220;Male;Islas Marietas;Occidente;2013-12;Family;5
Usuario1948;Female;Playa Los Muertos;Occidente;2016-12;Family;5
Usuario1535;Male;Manantial La Tovara;Noreste;2019-10;Family;5
Usuario288;Male;Islas Marietas;Argentina;2014-12;Business;5
Usuario1499;N/I;Manantial La Tovara;Argentina;2013-12;Alone;5
Usuario757;Female;Islas Marietas;Espania;2016-05;Friends;5
Usuario1771;Female;Playa Los Muertos;Argentina;2017-11;Couple;5
Usuario1052;Female;Islas Marietas;Estados Unidos;2015-05;Friends;5
Usuario1657;Female;Playa Destiladeras;Centro;2015-01;Couple;5
Usuario1048;Female;Islas Marietas;Estados Unidos;2015-09;Friends;5
Usuario1334;Female;Islas Marietas;Occidente;2014-02;Family;5
Usuario660;Female;Islas Marietas;Centro;2016-04;Family;5
Usuario711;Female;Islas Marietas;Centro;2015-02;Family;5
Usuario0;Male;Playa Los Muertos;Alemania;2017-04;Couple;5
Usuario679;Female;Islas Marietas;Centro;2013-02;Friends;5
Usuario2099;Male;The Jazz Foundation;Estados Unidos;2016-04;Family;5
Usuario955;Female;Islas Marietas;Estados Unidos;2017-01;Couple;5
Usuario1492;Female;Islas Marietas;Uruguay;2015-07;Couple;5
Usuario1646;Female;Playa Destiladeras;Canada;2014-03;Family;5
Usuario367;Male;Islas Marietas;Canada;2015-02;Friends;5
Usuario868;Male;Islas Marietas;Estados Unidos;2013-08;Alone;5
Usuario276;Female;Isla Isabel;Estados Unidos;2017-02;Couple;5
Usuario1287;Male;Islas Marietas;Occidente;2016-03;Couple;5
Usuario1094;Male;Islas Marietas;Noreste;2015-07;Family;5
Usuario203;Male;Galerias Vallarta;Occidente;2016-07;Family;5
Usuario2158;Male;The Jazz Foundation;Noreste;2016-07;Family;5
Usuario403;Female;Islas Marietas;Canada;2016-08;Friends;5
Usuario1545;Male;Manantial La Tovara;Occidente;2012-11;Friends;5
Usuario771;Male;Islas Marietas;Estados Unidos;2017-04;Couple;5
Usuario538;Male;Islas Marietas;Centro;2014-05;Friends;5
Usuario154;Male;Cerro de la Contaduria;Occidente;2015-10;Family;5
Usuario285;Male;Islas Marietas;Argentina;2016-07;Friends;5
Usuario603;Female;Islas Marietas;Centro;2019-05;Couple;5
Usuario1327;Female;Islas Marietas;Occidente;2013-03;Couple;5
Usuario633;Female;Islas Marietas;Centro;2015-11;Family;5
Usuario2190;Male;The Jazz Foundation;Occidente;2012-11;Family;5
Usuario1031;Female;Islas Marietas;Estados Unidos;2017-03;Friends;5
Usuario1670;Male;Playa Destiladeras;Estados Unidos;2012-12;Friends;5
Usuario1718;Male;Playa Destiladeras;Occidente;2018-04;Family;5
Usuario1025;Female;Islas Marietas;Estados Unidos;2016-01;Alone;5
Usuario649;Female;Islas Marietas;Centro;2015-05;Couple;5
Usuario1796;Male;Playa Los Muertos;Centro;2015-12;Family;5
Usuario342;Male;Islas Marietas;Canada;2016-11;Alone;5
Usuario51;Female;Bucerias Art Walk;Canada;2017-01;Friends;5
Usuario1075;Male;Islas Marietas;italia;2012-12;Friends;5
Usuario465;Male;Islas Marietas;Centro;2017-05;Family;5
Usuario1280;Male;Islas Marietas;Occidente;2015-04;Family;5
Usuario1495;Female;Islas Marietas;Venezuela;2015-12;Family;5
Usuario350;Male;Islas Marietas;Canada;2015-01;Alone;5
Usuario1669;Male;Playa Destiladeras;Estados Unidos;2018-05;Couple;5
Usuario368;Male;Islas Marietas;Canada;2015-04;Couple;5
Usuario1078;Male;Islas Marietas;Nicaragua;2016-03;Friends;5
Usuario1719;Male;Playa Destiladeras;Occidente;2016-04;Family;5
Usuario1370;Female;Islas Marietas;Occidente;2015-10;Friends;5
Usuario1014;Female;Islas Marietas;Estados Unidos;2016-07;Friends;5
Usuario160;Female;Cerro de la Contaduria;Occidente;2014-11;Couple;5
Usuario1826;Female;Playa Los Muertos;Centro;2015-10;Friends;5
Usuario1169;Male;Islas Marietas;Noroeste;2017-08;Alone;5
Usuario1269;Male;Islas Marietas;Occidente;2016-02;Business;5
Usuario515;Male;Islas Marietas;Centro;2017-03;Couple;5
Usuario491;Male;Islas Marietas;Centro;2015-11;Friends;5
Usuario1769;Female;Playa Los Muertos;Argentina;2019-05;Alone;5
Usuario287;Male;Islas Marietas;Argentina;2019-04;Couple;5
Usuario1608;Female;Mercado del Pueblo Sayulita;Estados Unidos;2019-01;Family;5
Usuario2233;Male;The Jazz Foundation;Sureste;2015-09;Couple;5
Usuario1757;Male;Playa El Anclote;Occidente;2016-06;Alone;5
Usuario434;Female;Islas Marietas;Canada;2015-11;Friends;5
Usuario92;Female;Bucerias Art Walk;Estados Unidos;2017-05;Friends;5
Usuario246;Female;Isla de Coral;Centro;2016-02;Friends;5
Usuario1833;Male;Playa Los Muertos;Estados Unidos;2016-05;Couple;5
Usuario1140;Female;Islas Marietas;Noreste;2014-08;Family;5
Usuario1301;Male;Islas Marietas;Occidente;2016-01;Friends;5
Usuario1849;Female;Playa Los Muertos;Estados Unidos;2016-03;Couple;5
Usuario2146;Female;The Jazz Foundation;Estados Unidos;2017-03;Family;5
Usuario978;Female;Islas Marietas;Estados Unidos;2015-05;Friends;5
Usuario936;Female;Islas Marietas;Estados Unidos;2017-03;Family;5
Usuario44;Female;Bucerias Art Walk;Canada;2014-02;Friends;5
Usuario1313;Male;Islas Marietas;Occidente;2015-09;Friends;5
Usuario1340;Female;Islas Marietas;Occidente;2015-07;Family;5
Usuario1638;Female;Playa Destiladeras;Canada;2019-02;Friends;5
Usuario1847;Male;Playa Los Muertos;Estados Unidos;2016-03;Family;5
Usuario686;Female;Islas Marietas;Centro;2016-05;Family;5
Usuario1599;Male;Mercado del Pueblo Sayulita;Estados Unidos;2013-01;Couple;5
Usuario1913;Male;Playa Los Muertos;Noroeste;2018-03;Couple;5
Usuario707;Female;Islas Marietas;Centro;2014-10;Couple;5
Usuario880;Male;Islas Marietas;Estados Unidos;2017-04;Alone;5
Usuario554;Male;Islas Marietas;Centro;2016-03;Family;5
Usuario1775;Male;Playa Los Muertos;Canada;2017-01;Couple;5
Usuario512;Male;Islas Marietas;Centro;2014-01;Family;5
Usuario853;Male;Islas Marietas;Estados Unidos;2017-04;Couple;5
Usuario727;Male;Islas Marietas;Chile;2019-03;Couple;5
Usuario1427;Male;Islas Marietas;Reino Unido;2017-02;Couple;5
Usuario383;Female;Islas Marietas;Canada;2014-08;Family;5
Usuario35;Male;Bucerias Art Walk;Canada;2019-03;Couple;5
Usuario1501;Male;Manantial La Tovara;Canada;2014-02;Couple;5
Usuario1553;Male;Manantial La Tovara;Occidente;2016-02;Friends;5
Usuario1181;Male;Islas Marietas;Noroeste;2014-02;Couple;5
Usuario135;Female;Cerro de la Contaduria;Centro;2016-10;Friends;5
Usuario567;Male;Islas Marietas;Centro;2016-03;Couple;5
Usuario2086;Female;The Jazz Foundation;Centro;2015-12;Family;5
Usuario573;Male;Islas Marietas;Centro;2015-07;Couple;5
Usuario1604;Female;Mercado del Pueblo Sayulita;Estados Unidos;2015-03;Friends;5
Usuario1316;Female;Islas Marietas;Occidente;2015-04;Couple;5
Usuario688;Female;Islas Marietas;Centro;2015-07;Family;5
Usuario1668;Male;Playa Destiladeras;Estados Unidos;2016-07;Family;5
Usuario1561;Male;Manantial La Tovara;Occidente;2017-03;Family;5
Usuario1633;Female;Playa Destiladeras;Canada;2017-03;Couple;5
Usuario1393;Female;Islas Marietas;Occidente;2014-07;Family;5
Usuario1486;Female;Islas Marietas;Sureste;2015-09;Couple;5
Usuario1115;Male;Islas Marietas;Noreste;2015-03;Couple;5
Usuario1860;Female;Playa Los Muertos;Estados Unidos;2016-04;Family;5
Usuario1309;Male;Islas Marietas;Occidente;2015-08;Family;5
Usuario1688;Female;Playa Destiladeras;Noreste;2013-08;Family;5
Usuario885;Female;Islas Marietas;Estados Unidos;2016-04;Alone;5
Usuario723;Male;Islas Marietas;Chile;2017-04;Alone;5
Usuario1293;Male;Islas Marietas;Occidente;2016-01;Couple;5
Usuario1707;Male;Playa Destiladeras;Occidente;2013-01;Family;5
Usuario1840;Male;Playa Los Muertos;Estados Unidos;2016-03;Couple;5
Usuario697;Female;Islas Marietas;Centro;2016-04;Couple;5
Usuario766;Male;Islas Marietas;Estados Unidos;2017-03;Couple;5
Usuario161;Female;Cerro de la Contaduria;Occidente;2014-01;Friends;5
Usuario2076;Female;The Jazz Foundation;Centro;2013-12;Family;5
Usuario1636;Female;Playa Destiladeras;Canada;2017-04;Couple;5
Usuario1033;Female;Islas Marietas;Estados Unidos;2016-02;Friends;5
Usuario1532;Female;Manantial La Tovara;Estados Unidos;2015-12;Family;5
Usuario1212;Male;Islas Marietas;Occidente;2013-12;Couple;5
Usuario256;Male;Isla de Coral;Noroeste;2016-10;Friends;5
Usuario775;Male;Islas Marietas;Estados Unidos;2017-01;Family;5
Usuario1188;Female;Islas Marietas;Noroeste;2017-05;Family;5
Usuario1191;Female;Islas Marietas;Noroeste;2014-07;Family;5
Usuario201;Male;Galerias Vallarta;Noroeste;2014-11;Couple;5
Usuario1961;Male;Playa Los Muertos;Sureste;2017-01;Couple;5
Usuario2132;Female;The Jazz Foundation;Estados Unidos;2016-11;Family;5
Usuario1030;Female;Islas Marietas;Estados Unidos;2015-12;Friends;5
Usuario1656;Female;Playa Destiladeras;Centro;2019-06;Friends;5
Usuario1664;Male;Playa Destiladeras;Estados Unidos;2016-02;Friends;5
Usuario2244;Female;Santuario de Cocodrilos El Cora;Occidente;2018-07;Family;5
Usuario18;Male;Bahia de Matanchen;Occidente;2014-02;Family;5
Usuario729;Male;Islas Marietas;Chile;2017-01;Couple;5
Usuario1458;Male;Islas Marietas;Sureste;2015-09;Couple;5
Usuario1123;Female;Islas Marietas;Noreste;2013-07;Family;5
Usuario93;Female;Bucerias Art Walk;Estados Unidos;2019-01;Friends;5
Usuario347;Male;Islas Marietas;Canada;2016-04;Alone;5
Usuario774;Male;Islas Marietas;Estados Unidos;2017-02;Couple;5
Usuario1155;Female;Islas Marietas;Noreste;2016-01;Family;5
Usuario561;Male;Islas Marietas;Centro;2014-08;Couple;5
Usuario1792;Female;Playa Los Muertos;Canada;2016-12;Family;5
Usuario809;Male;Islas Marietas;Estados Unidos;2015-04;Friends;5
Usuario1311;Male;Islas Marietas;Occidente;2016-04;Couple;5
Usuario1112;Male;Islas Marietas;Noreste;2013-02;Couple;5
Usuario2078;Female;The Jazz Foundation;Centro;2017-04;Family;5
Usuario1292;Male;Islas Marietas;Occidente;2014-07;Family;5
Usuario1310;Male;Islas Marietas;Occidente;2016-03;Couple;5
Usuario2193;Male;The Jazz Foundation;Occidente;2018-07;Family;5
Usuario2207;Female;The Jazz Foundation;Occidente;2014-08;Family;5
Usuario328;Female;Islas Marietas;Australia;2017-04;Couple;5
Usuario1665;Male;Playa Destiladeras;Estados Unidos;2014-01;Family;5
Usuario545;Male;Islas Marietas;Centro;2016-01;Family;5
Usuario1612;Female;Mercado del Pueblo Sayulita;Occidente;2016-12;Alone;5
Usuario646;Female;Islas Marietas;Centro;2015-09;Couple;5
Usuario26;Female;Bahia de Matanchen;Occidente;2019-01;Friends;5
Usuario1912;Female;Playa Los Muertos;Noreste;2018-02;Friends;5
Usuario630;Female;Islas Marietas;Centro;2013-09;Family;5
Usuario1196;Female;Islas Marietas;Noroeste;2016-07;Friends;5
Usuario1915;Female;Playa Los Muertos;Noroeste;2016-08;Family;5
Usuario1515;Female;Manantial La Tovara;Centro;2015-12;Family;5
Usuario1419;Male;Islas Marietas;Peru;2016-11;Friends;5
Usuario501;Male;Islas Marietas;Centro;2019-02;Couple;5
Usuario394;Female;Islas Marietas;Canada;2015-02;Friends;5
Usuario218;Female;Galerias Vallarta;Occidente;2017-05;Family;5
